"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000000000","1903","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      5.7","","       5.7","E","         0","E","        33","E","         1","E","        11","E","         0","E","   -6.1","E,1229, ","   25.8","E,0709, ","-0.7","E,1107","-2.3","E,1130","-6.1","E,1229","","","","","0.0","E,0423","-2.3","E,0418","-4.5","E,0116","","","","","    3253.2","2","    3253.2","E","      9.31","E","     12.67","E","      5.96","E"
"UK000000000","1904","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      9.5","","       9.5","E","         0","E","        52","E","         2","E","        31","E","         0","E","   -8.9","E,1124, ","   27.4","E,0802, ","-0.1","E,1013","-3.0","E,1123","-8.9","E,1124","-8.9","E,1124","-8.9","E,1124","-0.7","E,0330","-2.8","E,0312","-5.0","E,0229","","","","","    3360.6","6","    3360.6","E","      8.96","E","     12.64","E","      5.29","E"
"UK000000000","1905","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      4.5","","       4.5","E","         0","E","        42","E","         0","E","        30","E","         0","E","   -5.6","E,0119, ","   25.9","E,0707, ","-0.6","E,1016","-2.3","E,1017","","","","","","","-0.5","E,0408","-3.0","E,0127","-5.6","E,0119","","","","","    3259.3","3","    3259.3","E","      9.14","E","     12.73","E","      5.55","E"
"UK000000000","1906","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     15.3","","      15.3","E","         0","E","        55","E","         1","E","        50","E","         0","E","   -4.7","E,1227, ","   31.5","E,0901, ","-0.7","E,1113","-2.8","E,1210","-4.7","E,1227","","","","","0.0","E,0429","-2.5","E,0330","","","","","","","    3403.3","3","    3403.3","E","      9.42","E","     13.35","E","      5.50","E"
"UK000000000","1907","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.0","","       0.0","E","         0","E","        46","E","         0","E","        15","E","         0","E","   -7.0","E,0125, ","   24.4","E,0717, ","-1.3","E,1116","-3.4","E,1130","","","","","","","-0.6","E,0419","-2.4","E,0324","-4.6","E,0312","-7.0","E,0125","","","    3194.3","3","    3194.3","E","      8.85","E","     12.56","E","      5.14","E"
"UK000000000","1908","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      5.1","","       5.1","E","         0","E","        50","E","         1","E","        37","E","         0","E","  -10.8","E,1230, ","   27.3","E,0701, ","-1.3","E,1025","-4.8","E,1110","-4.8","E,1110","-10.8","E,1230","-10.8","E,1230","0.0","E,0426","-3.2","E,0424","-6.5","E,0113","-7.5","E,0105","","","    3333.2","2","    3333.2","E","      9.26","E","     13.00","E","      5.51","E"
"UK000000000","1909","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.6","","       2.6","E","         0","E","        78","E","         0","E","        16","E","         0","E","   -9.5","E,0305, ","   26.8","E,0814, ","-0.3","E,1026","-2.3","E,1031","-4.8","E,1220","-8.3","E,1221","","","-0.8","E,0501","-5.1","E,0317","-5.1","E,0317","-9.5","E,0305","-9.5","E,0305","    3325.7","7","    3325.7","E","      8.53","E","     12.38","E","      4.68","E"
"UK000000000","1910","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.0","","       0.0","E","         0","E","        46","E","         0","E","        21","E","         0","E","   -9.9","E,0127, ","   25.3","E,0619, ","-1.4","E,1105","-2.5","E,1110","-4.4","E,1122","","","","","0.0","E,0510","-2.3","E,0403","-4.4","E,0128","-9.9","E,0127","-9.9","E,0127","    3229.8","8","    3229.8","E","      9.14","E","     12.73","E","      5.56","E"
"UK000000000","1911","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     55.0","","      55.0","E","         0","E","        32","E","         0","E","        71","E","         0","E","   -6.8","E,0201, ","   31.7","E,0808, ","-3.4","E,1029","-3.4","E,1029","","","","","","","-1.9","E,0412","-2.6","E,0406","-5.9","E,0202","-6.8","E,0201","","","    3307.3","3","    3307.3","E","     10.06","E","     13.99","E","      6.13","E"
"UK000000000","1912","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     11.2","","      11.2","E","         0","E","        33","E","         3","E","        15","E","         0","E","   -9.1","E,0203, ","   29.1","E,0714, ","-0.6","E,1004","-2.7","E,1128","-4.6","E,1201","","","","","-1.8","E,0412","-3.0","E,0206","-6.6","E,0205","-7.0","E,0204","-9.1","E,0203","    2994.2","2","    2994.2","E","      9.35","E","     12.96","E","      5.74","E"
