TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate,lat,lng
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,757,CHE,Switzerland,31,AZE,Azerbaijan,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,11867.667,,11867.667,0,False,True,47.3744,8.5411
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,276,DEU,Germany,654,SHN,Saint Helena,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,2467.252,,2467.252,0,False,True,52.52,13.405
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,818,EGY,Egypt,48,BHR,Bahrain,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,84535.377,,84535.377,0,False,True,30.0444,31.2358
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,508,MOZ,Mozambique,276,DEU,Germany,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,428761.114,,428761.114,0,False,True,-25.9667,32.5833
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,251,FRA,France,214,DOM,Dominican Rep.,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,87458.79,,87458.79,0,False,True,48.8567,2.3522
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,156,CHN,China,882,WSM,Samoa,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,432969.735,,432969.735,0,False,True,23.13,113.26
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,604,PER,Peru,56,BEL,Belgium,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,5140356.713,,5140356.713,0,False,True,-12.06,-77.0375
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,360,IDN,Indonesia,458,MYS,Malaysia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,17594247.81,,17594247.81,0,False,True,-6.175,106.8275
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,499,MNE,Montenegro,688,SRB,Serbia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,126678.77,,126678.77,0,False,True,42.4414,19.2628
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,826,GBR,United Kingdom,258,PYF,French Polynesia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,94134.664,,94134.664,0,False,True,51.5072,-0.1275
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,842,USA,USA,308,GRD,Grenada,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,157639.361,,157639.361,0,False,True,40.6943,-73.9249
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,842,USA,USA,604,PER,Peru,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,801559.738,,801559.738,0,False,True,40.6943,-73.9249
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,780,TTO,Trinidad and Tobago,203,CZE,Czechia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,1118.653,,1118.653,0,False,True,10.5167,-61.4
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,266,GAB,Gabon,372,IRL,Ireland,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,6145.135,,6145.135,0,False,True,0.3903,9.4542
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,100,BGR,Bulgaria,76,BRA,Brazil,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,155264.087,,155264.087,0,False,True,42.7,23.33
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,410,KOR,Rep. of Korea,414,KWT,Kuwait,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,25802091.95,,25802091.95,0,False,True,37.56,126.99
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,120,CMR,Cameroon,752,SWE,Sweden,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,10087.766,,10087.766,0,False,True,4.05,9.7
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,170,COL,Colombia,36,AUS,Australia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,1255.377,,1255.377,0,False,True,4.7111,-74.0722
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,40,AUT,Austria,490,S19,"Other Asia, nes",H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,17340.367,,17340.367,0,False,True,48.2083,16.3725
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,20,AND,Andorra,156,CHN,China,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,81911.514,,81911.514,0,False,True,42.5,1.5
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,690,SYC,Seychelles,392,JPN,Japan,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,1267.807,,1267.807,0,False,True,-4.6231,55.4525
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,104,MMR,Myanmar,792,TUR,T¨¹rkiye,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,6138.92,,6138.92,0,False,True,16.795,96.16
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,231,ETH,Ethiopia,124,CAN,Canada,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,4723.202,,4723.202,0,False,True,9.03,38.74
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,642,ROU,Romania,191,HRV,Croatia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,110578.865,,110578.865,0,False,True,44.4325,26.1039
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,434,LBY,Libya,380,ITA,Italy,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,15335.492,,15335.492,0,False,True,32.8872,13.1914
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,524,NPL,Nepal,586,PAK,Pakistan,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,9002.672,,9002.672,0,False,True,27.71,85.32
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,40,AUT,Austria,764,THA,Thailand,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,63175.316,,63175.316,0,False,True,48.2083,16.3725
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,699,IND,India,233,EST,Estonia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,977063.99,,977063.99,0,False,True,28.61,77.23
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,642,ROU,Romania,498,MDA,Rep. of Moldova,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,150189.131,,150189.131,0,False,True,44.4325,26.1039
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,428,LVA,Latvia,490,S19,"Other Asia, nes",H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,2974.374,,2974.374,0,False,True,56.9489,24.1064
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,116,KHM,Cambodia,170,COL,Colombia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,26628.917,,26628.917,0,False,True,11.5694,104.9211
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,504,MAR,Morocco,704,VNM,Viet Nam,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,61852.819,,61852.819,0,False,True,33.5333,-7.5833
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,616,POL,Poland,233,EST,Estonia,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,424975.094,,424975.094,0,False,True,52.23,21.0111
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,524,NPL,Nepal,8,ALB,Albania,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,1191.987,,1191.987,0,False,True,27.71,85.32
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,372,IRL,Ireland,12,DZA,Algeria,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,53590070.45,,53590070.45,0,False,True,53.35,-6.2603
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,752,SWE,Sweden,484,MEX,Mexico,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,2372.788,,2372.788,0,False,True,59.3294,18.0686
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,496,MNG,Mongolia,616,POL,Poland,H6,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,False,-1,,0,False,0.0,False,0,False,11191.503,,11191.503,0,False,True,47.9203,106.9172
