"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003808","2001","50.2167","-5.3167","88.0","CAMBORNE, UK","      3.2","","       3.2","E","       184","E","        92","E","         1","E","        0","","         0","E","         9","E","         0","E","        10","E","         0","E","   -2.0","E,1223, ","     0"," ,E,1231,+","  30.4"," ,E,1025, ","   26.1","E,0727, ","-1.0","E,1215","","","","","-0.1","E,0305","","","","","","","","","    2606.0","0","    2606.0","E","    848.2"," ,E","     11.05","E","     13.69","E","      8.41","E"
"UK000003808","2002","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","E","       209","E","       124","E","         3","E","        0","","         0","E","         3","E","         0","E","         1","E","         0","E","   -0.8","E,1211, ","     0"," ,E,1231,+","  47.4"," ,E,1113, ","   22.2","E,0728, ","-0.7","E,1210","","","","","-0.5","E,0101","","","","","","","","","    2480.8","8","    2480.8","E","   1238.2"," ,E","     11.12","E","     13.63","E","      8.60","E"
"UK000003808","2003","50.2167","-5.3167","88.0","CAMBORNE, UK","     14.6","","      14.6","E","       174","E","        92","E","         3","E","        0","","         0","E","        10","E","         0","E","        25","E","         0","E","   -1.6","E,0215, ","     0"," ,E,1231,+","  38.2"," ,E,0724, ","   27.5","E,0807, ","","","","","","","-0.3","E,0216","","","","","","","","","    2594.4","4","    2594.4","E","    910.5"," ,E","     11.30","E","     14.00","E","      8.60","E"
"UK000003808","2004","50.2167","-5.3167","88.0","CAMBORNE, UK","      8.0","","       8.0","E","       199","E","        98","E","         5","E","        0","","         0","E","         8","E","         0","E","        17","E","         0","E","   -1.8","E,0129, ","    10"," ,E,0228, ","  67.6"," ,E,0817, ","   26.0","E,0905, ","","","","","","","-0.4","E,0302","","","","","","","","","    2533.8","8","    2533.8","E","   1046.1"," ,E","     11.20","E","     13.69","E","      8.70","E"
"UK000003808","2005","50.2167","-5.3167","88.0","CAMBORNE, UK","     10.0","","      10.0","E","       180","E","       101","E","         2","E","        0","","         0","E","        16","E","         0","E","        13","E","         0","E","   -2.8","E,0227, ","     0"," ,E,1231,+","  27.6"," ,E,1105, ","   26.0","E,0711, ","0.0","E,1125","-2.3","E,1227","","","-2.0","E,0306","-2.8","E,0227","","","","","","","    2637.7","7","    2637.7","E","    861.9"," ,E","     11.03","E","     13.60","E","      8.46","E"
"UK000003808","2006","50.2167","-5.3167","88.0","CAMBORNE, UK","     24.3","","      24.3","E","       171","E","        89","E","         1","E","        0","","         0","E","        12","E","         0","E","        26","E","         0","E","   -1.5","E,0129, ","     0"," ,E,1231,+","  26.2"," ,E,0928, ","   27.7","E,0718, ","-0.5","E,1221","","","","","-0.7","E,0303","","","","","","","","","    2734.2","2","    2734.2","E","    932.6"," ,E","     11.40","E","     13.95","E","      8.85","E"
"UK000003808","2007","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","E","       182","E","       109","E","         2","E","        0","","         0","E","         2","E","         0","E","         1","E","         0","E","   -1.5","E,0125, ","     0"," ,E,1231,+","  26.6"," ,E,0513, ","   21.2","E,0825, ","","","","","","","-1.5","E,0125","","","","","","","","","    2243.7","7","    2243.7","E","   1007.8"," ,E","     11.57","E","     14.01","E","      9.12","E"
"UK000003808","2008","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.6","","       1.6","E","       197","E","       102","E","         1","E","        0","","         0","E","         1","E","         0","E","         3","E","         0","E","   -0.2","E,1226, ","     0"," ,E,1231,+","  27.6"," ,E,1212, ","   22.9","E,0512, ","-0.2","E,1226","","","","","","","","","","","","","","","    2595.4","4","    2595.4","E","    970.6"," ,E","     10.93","E","     13.33","E","      8.53","E"
"UK000003808","2009","50.2167","-5.3167","88.0","CAMBORNE, UK","      4.7","","       4.7","E","       193","E","       117","E","         4","E","        1","","         0","E","         8","E","         0","E","         7","E","         0","E","   -4.9","E,0106, ","    60"," ,E,0203, ","  35.2"," ,E,0728, ","   26.2","E,0630, ","-2.8","E,1219","-2.8","E,1219","","","-3.5","E,0202","-3.5","E,0202","-4.9","E,0106","","","","","    2801.0","0","    2801.0","E","   1191.9"," ,E","     10.91","E","     13.35","E","      8.47","E"
"UK000003808","2010","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.8","","       0.8","E","       165","E","        86","E","         5","E","        0","","         0","E","        38","E","         0","E","         4","E","         0","E","   -3.8","E,1128, ","    20"," ,E,1130,+","  30.4"," ,E,0115, ","   22.5","E,0625, ","-0.8","E,1127","-3.8","E,1128","","","-1.5","E,0311","-2.2","E,0308","","","","","","","    2777.1","1","    2777.1","E","    906.7"," ,E","     10.08","E","     12.79","E","      7.38","E"
