"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003005","1953","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       207","I","       136","I","         0","I","","","         0","G","        38","G","         1","G","         2","G","         0","G","   -5.0","G,0208, ","","","  24.0"," ,I,1201,+","   21.1","G,0625,+","-0.6","G,1226","","","","","","","0.0","G,0425","-3.3","G,0415","-5.0","G,0208","","","","","    4092.8","8","    4092.8","G","   1122.0"," ,I","      7.88","G","     10.21","G","      5.56","G"
"UK000003005","1954","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       230","I","       144","I","         3","I","","","         0","G","        44","G","         1","G","         0","G","         0","G","   -3.9","G,1209,+","","","  48.0"," ,I,0916, ","   19.4","G,0529, ","-0.6","G,0930","-2.8","G,1208","","","","","0.0","G,0501","-2.2","G,0422","","","","","","","    3762.3","3","    3762.3","G","   1273.0"," ,I","      6.87","G","      9.21","G","      4.53","G"
"UK000003005","1955","60.1331","-1.1831","82.0","LERWICK, UK","","","","","       203","I","       101","I","         0","I","","","         0","G","        72","G","        11","G","         1","G","         0","G","   -8.3","G,0116, ","","","  24.0"," ,I,0228, ","   21.1","G,0712, ","-0.6","G,1015","-4.4","G,1209","-4.4","G,1209","-7.2","G,1222","-0.6","G,0521","-2.8","G,0329","-4.4","G,0320","-7.2","G,0221","","","    4274.3","3","    4274.3","G","    827.0"," ,I","      6.75","G","      9.25","G","      4.25","G"
"UK000003005","1956","60.1331","-1.1831","82.0","LERWICK, UK","","","","","       207","I","       109","I","         1","I","","","         0","G","        56","G","         3","G","         0","G","         0","G","   -6.7","G,0126,+","","","  27.0"," ,I,0729, ","   16.7","G,0611, ","0.0","G,1030","-2.8","G,1128","","","","","0.0","G,0430","-2.8","G,0406","-4.4","G,0216","-6.7","G,0126","","","","","","","    974.0"," ,I","      6.68","G","      8.96","G","      4.39","G"
"UK000003005","1957","60.1331","-1.1831","82.0","LERWICK, UK","","","","","       223","I","       147","I","         0","I","","","         0","G","        40","G","         0","G","         0","G","         0","G","   -3.9","G,1210, ","","","  25.0"," ,I,0316, ","   17.8","G,0616, ","0.0","G,1114","-3.9","G,1210","","","","","-0.6","G,0521","-3.3","G,0227","","","","","","","    3981.5","5","    3981.5","G","   1194.0"," ,I","      7.19","G","      9.45","G","      4.93","G"
"UK000003005","1958","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       205","I","       108","I","         3","I","","","         0","G","        65","G","         5","G","         2","G","         0","G","   -7.8","G,0121, ","","","  31.0"," ,I,0919, ","   23.3","G,0630, ","-0.6","G,1111","-3.9","G,1210","-4.4","G,1211","","","0.0","G,0511","-2.2","G,0411","-5.0","G,0315","-7.2","G,0314","","","","","","","    991.0"," ,I","      6.87","G","      9.17","G","      4.57","G"
"UK000003005","1959","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       192","I","       118","I","         0","I","","","         0","G","        34","G","         3","G","         0","G","         0","G","   -8.9","G,0123, ","","","  25.0"," ,I,1114,+","   18.9","G,0626, ","0.0","G,1219","","","","","","","0.0","G,0507","-3.3","G,0222","-5.6","G,0221","-8.9","G,0123","-8.9","G,0123","    3774.7","7","    3774.7","G","    923.0"," ,I","      7.82","G","     10.09","G","      5.56","G"
"UK000003005","1960","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       179","I","       103","I","         1","I","","","         0","G","        46","G","         2","G","         0","G","         0","G","   -5.6","G,0118, ","","","  27.0"," ,I,0924, ","   17.2","G,0911,+","0.0","G,1107","-2.2","G,1210","","","","","0.0","G,0501","-2.2","G,0224","-5.0","G,0217","","","","","    3759.3","3","    3759.3","G","    850.0"," ,I","      7.53","G","      9.80","G","      5.26","G"
"UK000003005","1961","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       217","I","       136","I","         1","I","","","         0","G","        44","G","         4","G","         0","G","         0","G","   -8.2","G,1229, ","","","  26.0"," ,I,1030, ","   19.6","G,0715, ","-0.5","G,1104","-3.3","G,1203","-5.3","G,1226","-6.8","G,1228","-1.7","G,0409","-2.3","G,0404","-5.6","G,0204","","","","","    3839.7","7","    3839.7","G","   1092.0"," ,I","      7.39","G","      9.57","G","      5.21","G"
"UK000003005","1962","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       228","I","       142","I","         2","I","","","         0","G","        60","G","         1","G","         0","G","         0","G","   -7.2","G,0306, ","","","  33.0"," ,I,0329, ","   18.9","G,0607, ","-1.4","G,1026","-4.7","G,1116","-4.7","G,1116","","","0.0","G,0602","-2.2","G,0407","-6.3","G,0315","-7.2","G,0306","","","    4058.8","8","    4058.8","G","   1146.0"," ,I","      6.58","G","      8.84","G","      4.31","G"
