"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003377","1969","53.1658","0.5239","68.0","WADDINGTON, UK","     23.3","","      23.3","G","       147","I","        82","I","         2","I","","","         0","G","        74","G","         6","G","        39","G","         0","G","   -8.1","G,0208, ","","","  54.0"," ,I,1116, ","   31.6","G,0716, ","-0.2","G,1107","-2.6","G,1118","","","","","","","-1.0","G,0419","-2.6","G,0328","-5.1","G,0218","-7.5","G,0216","","","    3433.2","2","    3433.2","G","    730.0"," ,I","      8.76","G","     12.21","G","      5.31","G"
"UK000003377","1970","53.1658","0.5239","68.0","WADDINGTON, UK","     11.8","","      11.8","G","       139","I","        63","I","         2","I","","","         0","G","        65","G","         1","G","        48","G","         0","G","   -7.1","G,0309, ","","","  49.0"," ,I,0819, ","   29.9","G,0707, ","-0.5","G,1116","-2.4","G,1225","","","","","","","-0.4","G,0412","-2.5","G,0402","-6.6","G,0310","-7.1","G,0309","","","    3241.0","0","    3241.0","G","    578.0"," ,I","      9.26","G","     12.87","G","      5.65","G"
"UK000003377","1971","53.1658","0.5239","68.0","WADDINGTON, UK","      4.9","","       4.9","G","       108","I","        60","I","         0","I","","","         0","G","        48","G","         3","G","        42","G","         0","G","   -5.6","G,0105, ","","","  23.0"," ,I,0423, ","   27.0","G,0711, ","-0.4","G,1107","-2.5","G,1120","","","","","","","0.0","G,0428","-2.5","G,0307","-5.6","G,0105","","","","","    3295.1","1","    3295.1","G","    498.0"," ,I","      9.46","G","     13.03","G","      5.89","G"
"UK000003377","1972","53.1658","0.5239","68.0","WADDINGTON, UK","      0.0","","       0.0","G","       145","I","        70","I","         1","I","","","         0","G","        39","G","         1","G","        15","G","         0","G","   -9.6","G,0201, ","","","  45.0"," ,I,0908, ","   24.0","G,0823, ","-0.1","G,1004","","","","","","","","","-0.4","G,0329","-2.4","G,0215","-9.6","G,0201","-9.6","G,0201","-9.6","G,0201","    3146.8","8","    3146.8","G","    569.0"," ,I","      8.96","G","     12.38","G","      5.54","G"
"UK000003377","1973","53.1658","0.5239","68.0","WADDINGTON, UK","","","","","       113","I","        53","I","         3","I","","","         0","G","        47","G","","","","","","","   -8.2","G,1202, ","","","  56.0"," ,I,0715, ","","","-0.9","G,1018","-4.2","G,1127","-7.9","G,1201","-7.9","G,1201","","","-1.7","G,0410","-3.9","G,0409","-4.9","G,0227","","","","","    3268.6","6","    3268.6","G","    539.0"," ,I","","","","","      5.75","G"
"UK000003377","1974","53.1658","0.5239","68.0","WADDINGTON, UK","      2.2","","       2.2","G","       142","I","        84","I","         2","I","","","         0","G","        22","G","         0","G","        18","G","         0","G","   -6.0","G,0101, ","","","  39.0"," ,I,0704, ","   23.7","G,0722,+","-3.4","G,1120","-3.4","G,1120","","","","","","","-0.2","G,0414","-2.8","G,0204","-5.0","G,0102","","","","","","","","","    647.0"," ,I","      9.19","G","     12.83","G","      5.56","G"
"UK000003377","1975","53.1658","0.5239","68.0","WADDINGTON, UK","     74.5","","      74.5","G","       123","I","        62","I","         1","I","","","         0","G","        44","G","         0","G","        60","G","         1","G","   -4.8","G,1130, ","","","  28.0"," ,I,1201, ","   32.8","G,0808, ","-1.7","G,1028","-4.8","G,1130","-4.8","G,1130","","","","","-1.3","G,0410","-2.4","G,0409","","","","","","","    3298.2","2","    3298.2","G","    468.0"," ,I","      9.74","G","     13.55","G","      5.93","G"
"UK000003377","1976","53.1658","0.5239","68.0","WADDINGTON, UK","     65.3","","      65.3","G","       133","I","        61","I","         2","I","","","         0","G","        53","G","         0","G","        65","G","         1","G","   -4.9","G,0128, ","","","  39.0"," ,I,1001, ","   32.4","G,0626, ","-0.6","G,1111","-3.5","G,1204","","","","","","","-1.2","G,0429","-2.8","G,0320","-4.9","G,0128","","","","","    3053.6","6","    3053.6","G","    538.0"," ,I","      9.71","G","     13.50","G","      5.92","G"
"UK000003377","1977","53.1658","0.5239","68.0","WADDINGTON, UK","      9.3","","       9.3","G","       155","I","        77","I","         1","I","","","         0","G","        40","G","         1","G","        23","G","         0","G","   -6.9","G,0202, ","","","  26.0"," ,I,0210, ","   26.6","G,0802, ","-0.3","G,1121","","","","","","","","","-0.2","G,0418","-2.9","G,0330","-6.9","G,0202","-6.9","G,0202","","","    3433.2","2","    3433.2","G","    608.0"," ,I","      9.11","G","     12.52","G","      5.71","G"
"UK000003377","1978","53.1658","0.5239","68.0","WADDINGTON, UK","","","","","       149","I","        84","I","         2","I","","","         0","G","        56","G","         5","G","        29","G","         0","G","   -8.9","G,1201, ","","","  29.0"," ,I,0505, ","   27.0","G,0601, ","-1.1","G,1126","-2.6","G,1127","-5.7","G,1130","-8.9","G,1201","-8.9","G,1201","-1.1","G,0415","-4.0","G,0411","-6.2","G,0220","-8.0","G,0218","","","    3335.3","3","    3335.3","G","    684.0"," ,I","      8.96","G","     12.56","G","      5.37","G"
