"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107663","1984","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","     21.8","","      21.8","E","       161","E","       103","E","         3","E","         0","E","         0","E","         0","E","        25","E","         0","E","    1.1","E,0227,+","  37.3"," ,E,0522, ","   28.0","E,0819, ","","","","","","","","","","","","","    2562.9","9","    2562.9","E","    893.2"," ,E","     11.02","E","     13.54","E","      8.50","E"
"UKE00107663","1985","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      3.2","","       3.2","E","       180","E","        95","E","         0","E","         0","E","        21","E","         2","E","        13","E","         0","E","   -4.7","E,0117, ","  20.1"," ,E,0520, ","   26.4","E,0724, ","0.0","E,1120","","","-0.5","E,0320","-2.2","E,0212","-4.5","E,0118","","","    2654.3","3","    2654.3","E","    761.9"," ,E","     10.50","E","     12.95","E","      8.06","E"
"UKE00107663","1986","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      5.5","","       5.5","E","       195","E","       101","E","         5","E","         0","E","        23","E","         0","E","         9","E","         0","E","   -3.3","E,0223,+","  36.3"," ,E,0629, ","   24.8","E,0615, ","","","","","-0.3","E,0412","-2.7","E,0227","","","","","    2822.3","3","    2822.3","E","   1011.8"," ,E","      9.94","E","     12.33","E","      7.54","E"
"UKE00107663","1987","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       159","E","        87","E","         3","E","         0","E","        17","E","","","","","","","   -7.4","E,0113, ","  46.2"," ,E,1007, ","","","","","","","-0.1","E,0319","-3.6","E,0120","-6.4","E,0114","-7.4","E,0113","","","","","    783.2"," ,E","","","","","      8.01","E"
"UKE00107663","1988","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      2.0","","       2.0","E","       150","E","        88","E","         3","E","         0","E","         3","E","         0","E","         6","E","         0","E","   -0.2","E,0305,+","  33.2"," ,E,1012, ","   25.7","E,0806, ","","","","","-0.2","E,0305","","","","","","","    2536.6","6","    2536.6","E","    852.4"," ,E","     11.15","E","     13.43","E","      8.87","E"
"UKE00107663","1989","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","     30.4","","      30.4","E","       134","E","        66","E","         0","E","         0","E","         0","E","         0","E","        49","E","         0","E","    0.3","E,1212, ","  20.1"," ,E,1219, ","   26.3","E,0611, ","","","","","","","","","","","","","    2405.5","5","    2405.5","E","    531.3"," ,E","     12.11","E","     14.77","E","      9.44","E"
"UKE00107663","1990","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       149","E","        82","E","         0","E","         0","E","         0","E","         0","E","        36","E","         0","E","    1.3","E,0405, ","  24.1"," ,E,1027, ","   29.7","E,0731, ","","","","","","","","","","","","","    2158.0","0","    2158.0","E","    719.7"," ,E","     11.99","E","     14.57","E","      9.42","E"
"UKE00107663","1991","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      3.5","","       3.5","E","       151","E","        76","E","         0","E","         0","E","         8","E","         1","E","        19","E","         0","E","   -7.2","E,0208,+","  20.1"," ,E,1029, ","   26.3","E,0820, ","-1.8","E,1211","","","-0.8","E,0211","-2.8","E,0210","-7.2","E,0208","-7.2","E,0208","","","","","    631.6"," ,E","     10.60","E","     12.90","E","      8.30","E"
"UKE00107663","1992","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      5.0","","       5.0","E","       162","E","        90","E","         2","E","         0","E","         4","E","         0","E","        19","E","         0","E","   -1.3","E,0123, ","  37.3"," ,E,1206, ","   25.5","E,0628, ","","","","","-0.1","E,0220","","","","","","","    2450.7","7","    2450.7","E","    862.5"," ,E","     11.17","E","     13.52","E","      8.82","E"
"UKE00107663","1993","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      0.0","","       0.0","E","       168","E","        91","E","         1","E","         0","E","         4","E","         0","E","         6","E","         0","E","   -0.4","E,0228, ","  42.5"," ,E,0822, ","   23.4","E,0608, ","0.0","E,1122","","","-0.1","E,0301","","","","","","","    2485.2","2","    2485.2","E","    811.3"," ,E","     10.94","E","     13.22","E","      8.65","E"
"UKE00107663","1994","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      5.3","","       5.3","E","       202","E","       116","E","         2","E","         0","E","         2","E","         0","E","        21","E","         0","E","   -2.0","E,0215, ","  37.9"," ,E,0718, ","   27.0","E,0710, ","","","","","-2.0","E,0215","","","","","","","    2625.8","8","    2625.8","E","   1013.3"," ,E","     11.80","E","     14.11","E","      9.48","E"
"UKE00107663","1995","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","","","","","","","         0","E","         4","E","         0","E","        37","E","         0","E","   -1.0","E,1230,+","","","   29.8","E,0629, ","-0.8","E,1206","","","","","","","","","","","    2251.3","3","    2251.3","E","","","     12.10","E","     14.63","E","      9.58","E"
