"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00108854","1982","54.085","-4.6331","16.0","RONALDSWAY, UK","      2.3","","       2.3","E","       202","E","       105","E","         4","E","         0","E","        23","E","         1","E","        11","E","         0","E","   -7.7","E,0112, ","  35.7"," ,E,0924, ","   24.1","E,0804, ","-0.7","E,1126","","","","","","","","","-0.1","E,0508","-2.7","E,0115","-7.7","E,0112","-7.7","E,0112","    3237.3","3","    3237.3","E","   1017.6"," ,E","      9.69","E","     12.61","E","      6.78","E"
"UKE00108854","1983","54.085","-4.6331","16.0","RONALDSWAY, UK","     14.9","","      14.9","E","       169","E","        96","E","         1","E","         0","E","        18","E","         0","E","        19","E","         0","E","   -3.6","E,1122, ","  51.4"," ,E,1208, ","   28.9","E,0711, ","-0.2","E,1024","-3.6","E,1122","","","","","","","-0.3","E,0420","-2.5","E,0204","","","","","    3102.6","6","    3102.6","E","    820.4"," ,E","      9.89","E","     12.59","E","      7.20","E"
"UKE00108854","1984","54.085","-4.6331","16.0","RONALDSWAY, UK","      3.3","","       3.3","E","       166","E","       105","E","         1","E","         0","E","        10","E","         0","E","        15","E","         0","E","   -3.4","E,0402, ","  48.0"," ,E,0903, ","   24.0","E,0819, ","","","","","","","","","","","-0.7","E,0417","-3.4","E,0402","","","","","    2916.8","8","    2916.8","E","    860.3"," ,E","      9.76","E","     12.58","E","      6.93","E"
"UKE00108854","1985","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       190","E","       102","E","         1","E","         0","E","        39","E","         0","E","         2","E","         0","E","   -5.9","E,1230, ","  56.0"," ,E,0726, ","   23.1","E,0724, ","-0.6","E,1112","-4.2","E,1227","-4.6","E,1228","","","","","-0.6","E,0428","-3.2","E,0218","-4.6","E,0127","","","    3166.5","5","    3166.5","E","    927.1"," ,E","      8.91","E","     11.53","E","      6.29","E"
"UKE00108854","1986","54.085","-4.6331","16.0","RONALDSWAY, UK","      2.0","","       2.0","E","       162","E","        88","E","         1","E","         0","E","        28","E","         0","E","         4","E","         0","E","   -6.7","E,0302, ","  40.9"," ,E,0825, ","   24.9","E,0627, ","-1.1","E,1102","","","","","","","","","-1.5","E,0411","-5.6","E,0303","-5.6","E,0303","-6.7","E,0302","    3432.8","8","    3432.8","E","    771.9"," ,E","      8.78","E","     11.41","E","      6.14","E"
"UKE00108854","1987","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       180","E","        91","E","         2","E","         0","E","        30","E","         1","E","         1","E","         0","E","   -4.3","E,0113, ","  52.0"," ,E,0710, ","   21.6","E,0705, ","-2.1","E,1126","-3.6","E,1209","","","","","","","0.0","E,0402","-2.3","E,0321","","","","","    3291.8","8","    3291.8","E","    934.3"," ,E","      9.26","E","     11.88","E","      6.64","E"
"UKE00108854","1988","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       197","E","       107","E","         1","E","         0","E","         7","E","         0","E","         4","E","         0","E","   -3.1","E,1122, ","  44.4"," ,E,1004, ","   24.1","E,0613, ","-0.5","E,1029","-2.9","E,1121","","","","","","","-0.5","E,0304","","","","","","","    3003.0","0","    3003.0","E","    898.9"," ,E","     10.14","E","     12.67","E","      7.60","E"
"UKE00108854","1989","54.085","-4.6331","16.0","RONALDSWAY, UK","","","","","       167","E","        95","E","         1","E","","","","","","","","","","","","","  32.0"," ,E,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","    707.8"," ,E","","","","","",""
"UKE00108854","1990","54.085","-4.6331","16.0","RONALDSWAY, UK","","","","","       183","E","       102","E","         0","E","         0","E","         6","E","         0","E","         9","E","         0","E","   -2.1","E,1213, ","  18.4"," ,E,1017, ","   25.2","E,0801, ","-0.4","E,1208","","","","","","","","","0.0","E,0408","","","","","","","","","","","    819.8"," ,E","     10.40","E","     13.26","E","      7.53","E"
"UKE00108854","1991","54.085","-4.6331","16.0","RONALDSWAY, UK","      7.6","","       7.6","E","       168","E","        88","E","         1","E","         0","E","        21","E","         0","E","        14","E","         0","E","   -3.2","E,0113, ","  29.9"," ,E,1031, ","   26.5","E,0901, ","-0.4","E,1117","","","","","","","","","-0.9","E,0329","-3.0","E,0217","","","","","    3150.8","8","    3150.8","E","    744.5"," ,E","      9.92","E","     12.65","E","      7.19","E"
"UKE00108854","1992","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       189","E","       106","E","         2","E","         0","E","        11","E","         0","E","         8","E","         0","E","   -2.3","E,1220, ","  26.8"," ,E,0702, ","   23.8","E,0628, ","-0.1","E,1030","-2.3","E,1220","","","","","","","-0.8","E,0228","","","","","","","    2710.2","2","    2710.2","E","    820.0"," ,E","     10.07","E","     12.80","E","      7.35","E"
"UKE00108854","1993","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       185","E","       108","E","         1","E","         0","E","        14","E","         0","E","         2","E","         0","E","   -1.8","E,1123,+","  31.6"," ,E,0916, ","   21.4","E,0831, ","-1.8","E,1016","","","","","","","","","-0.3","E,0326","","","","","","","    3027.1","1","    3027.1","E","    987.5"," ,E","      9.59","E","     12.37","E","      6.81","E"
"UKE00108854","1994","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       197","E","       118","E","         1","E","         0","E","        10","E","         0","E","         0","E","         0","E","   -3.1","E,0222, ","  53.8"," ,E,1022, ","   20.7","E,0730, ","-0.1","E,1222","","","","","","","","","-0.7","E,0223","-3.1","E,0222","","","","","    3291.1","1","    3291.1","E","    886.5"," ,E","      9.88","E","     12.54","E","      7.22","E"
"UKE00108854","1995","54.085","-4.6331","16.0","RONALDSWAY, UK","     25.9","","      25.9","E","       162","E","        81","E","         0","E","         0","E","        14","E","         0","E","        30","E","         0","E","   -5.8","E,1227, ","  25.1"," ,E,0710, ","   27.8","E,0731, ","-1.0","E,1118","-4.3","E,1226","-5.8","E,1227","","","","","-2.4","E,0329","-2.4","E,0329","","","","","    2873.4","4","    2873.4","E","    683.7"," ,E","     10.58","E","     13.42","E","      7.73","E"
"UKE00108854","1996","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       164","E","        83","E","         2","E","         0","E","        21","E","         0","E","         3","E","         0","E","   -2.1","E,0221,+","  34.5"," ,E,0205, ","   22.1","E,0901, ","-0.1","E,1111","","","","","","","","","-1.3","E,0330","","","","","","","    2890.6","6","    2890.6","E","    715.3"," ,E","      9.48","E","     12.04","E","      6.93","E"
"UKE00108854","1997","54.085","-4.6331","16.0","RONALDSWAY, UK","      5.0","","       5.0","E","       163","E","        92","E","         1","E","         0","E","        13","E","         0","E","        11","E","         0","E","   -2.0","E,0103, ","  26.2"," ,E,1205, ","   24.5","E,0809, ","-0.5","E,1202","","","","","","","","","-0.3","E,0306","","","","","","","    2918.5","5","    2918.5","E","    715.9"," ,E","     10.60","E","     13.20","E","      8.00","E"
"UKE00108854","1998","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       200","E","       112","E","         1","E","         0","E","         9","E","         0","E","         1","E","         0","E","   -2.9","E,1206, ","  27.0"," ,E,0113, ","   21.6","E,0518, ","-0.5","E,1116","-2.9","E,1206","","","","","","","-0.1","E,0416","","","","","","","    2603.3","3","    2603.3","E","    981.1"," ,E","     10.64","E","     13.11","E","      8.16","E"
"UKE00108854","1999","54.085","-4.6331","16.0","RONALDSWAY, UK","      6.4","","       6.4","E","       180","E","       103","E","         1","E","         0","E","         7","E","         0","E","         9","E","         0","E","   -2.7","E,1219, ","  27.7"," ,E,1105, ","   25.3","E,0730, ","-1.3","E,1218","-2.7","E,1219","","","","","","","-0.7","E,0310","","","","","","","    2774.1","1","    2774.1","E","    855.2"," ,E","     10.66","E","     13.17","E","      8.15","E"
"UKE00108854","2000","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.5","","       0.5","E","       201","E","       112","E","         4","E","         0","E","         7","E","         0","E","         7","E","         0","E","   -2.5","E,1227, ","  34.1"," ,E,1108, ","   23.9","E,0617, ","-2.5","E,1227","-2.5","E,1227","","","","","","","-0.6","E,0406","","","","","","","    2749.6","6","    2749.6","E","    976.9"," ,E","     10.44","E","     12.96","E","      7.93","E"
"UKE00108854","2001","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.9","","       0.9","E","       165","E","        83","E","         1","E","         0","E","        17","E","         0","E","         6","E","         0","E","   -3.7","E,0301, ","  27.5"," ,E,1019, ","   23.6","E,0703, ","-0.7","E,1220","-2.7","E,1231","","","","","","","-1.2","E,0319","-3.2","E,0304","","","","","    2942.7","7","    2942.7","E","    723.6"," ,E","     10.13","E","     12.82","E","      7.44","E"
"UKE00108854","2002","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       188","E","       106","E","         5","E","         0","E","         2","E","         0","E","         4","E","         0","E","   -1.2","E,0214, ","  61.4"," ,E,1021, ","   22.1","E,0605, ","","","","","","","","","","","-1.2","E,0214","","","","","","","    2680.5","5","    2680.5","E","   1130.0"," ,E","     10.67","E","     13.07","E","      8.27","E"
"UKE00108854","2003","54.085","-4.6331","16.0","RONALDSWAY, UK","     15.2","","      15.2","E","       159","E","        87","E","         0","E","         0","E","        10","E","         0","E","        17","E","         0","E","   -2.3","E,0105, ","  19.8"," ,E,1210, ","   27.7","E,0715, ","-1.2","E,1229","","","","","","","","","0.0","E,0213","-2.3","E,0105","","","","","    2770.8","8","    2770.8","E","    728.8"," ,E","     10.62","E","     13.30","E","      7.93","E"
