TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,586,PAK,Pakistan,484,MEX,Mexico,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,8746.625,,8746.625,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,388,JAM,Jamaica,442,LUX,Luxembourg,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,3486.469,,3486.469,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,140,CAF,Central African Rep.,380,ITA,Italy,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,3019.121,,3019.121,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,699,IND,India,214,DOM,Dominican Rep.,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,49852.157,,49852.157,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,504,MAR,Morocco,478,MRT,Mauritania,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,11104.497,,11104.497,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,579,NOR,Norway,360,IDN,Indonesia,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,1120654.31,,1120654.31,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,882,WSM,Samoa,882,WSM,Samoa,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,368536.556,,368536.556,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,516,NAM,Namibia,100,BGR,Bulgaria,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,10347.542,,10347.542,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,76,BRA,Brazil,410,KOR,Rep. of Korea,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,8663.347,,8663.347,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,M,Import,528,NLD,Netherlands,442,LUX,Luxembourg,H6,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,10359247.85,,10359247.85,0,FALSE,TRUE
