"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107640","1981","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       242","E","       145","E","         3","E","        2","","         0","E","        21","E","         0","E","         0","E","         0","E","   -5.7","E,1212, ","    40"," ,E,1211, ","  28.1"," ,E,1219,+","   19.8","E,0828, ","-2.0","E,1208","-2.7","E,1209","-5.7","E,1212","","","-0.1","E,0424","","","","","    3175.6","6","    3175.6","E","   1192.5"," ,E","      8.72","E","     11.24","E","      6.21","E"
"UKE00107640","1982","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       247","E","       144","E","         5","E","        1","","         0","E","        17","E","         0","E","         3","E","         0","E","   -6.4","E,0111, ","    30"," ,E,1218, ","  36.8"," ,E,0104, ","   23.4","E,0604, ","-0.2","E,1124","","","","","","","-1.0","E,0319","-6.4","E,0111","-6.4","E,0111","    3337.6","6","    3337.6","E","   1369.7"," ,E","      9.21","E","     11.81","E","      6.61","E"
"UKE00107640","1983","56.4967","-6.8867","9.0","TIREE, UK","      0.9","","       0.9","E","       213","E","       129","E","         1","E","        0","","         0","E","        21","E","         0","E","         9","E","         0","E","   -3.0","E,0220,+","    20"," ,E,0130, ","  31.9"," ,E,1004, ","   24.4","E,0819, ","-0.7","E,1122","","","","","","","0.0","E,0422","-3.0","E,0220","","","    3345.3","3","    3345.3","E","   1075.5"," ,E","      9.16","E","     11.93","E","      6.40","E"
"UKE00107640","1984","56.4967","-6.8867","9.0","TIREE, UK","      0.5","","       0.5","E","       220","E","       137","E","         3","E","        3","","         0","E","        23","E","         0","E","         4","E","         0","E","   -3.4","E,0120, ","    50"," ,E,0115, ","  36.7"," ,E,0902, ","   22.7","E,0823, ","-2.0","E,1106","","","","","","","-2.1","E,0401","-3.4","E,0120","","","    3228.4","4","    3228.4","E","   1256.6"," ,E","      9.10","E","     11.74","E","      6.45","E"
"UKE00107640","1985","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       222","E","       134","E","         3","E","        0","","         0","E","        35","E","         0","E","         0","E","         0","E","   -7.0","E,1229, ","    10"," ,E,1229,+","  39.6"," ,E,0823, ","   18.9","E,0602, ","-0.8","E,1120","-3.3","E,1129","-7.0","E,1229","-7.0","E,1229","-0.1","E,0330","-2.2","E,0213","-4.4","E,0126","    3410.1","1","    3410.1","E","   1278.5"," ,E","      8.41","E","     11.01","E","      5.80","E"
"UKE00107640","1986","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       229","E","       155","E","         0","E","        0","","         0","E","        31","E","         0","E","         3","E","         0","E","   -5.2","E,0222, ","    20"," ,E,0222, ","  25.0"," ,E,0509, ","   22.5","E,0628, ","-0.1","E,1102","","","","","","","-0.2","E,0409","-4.2","E,0302","-4.8","E,0301","    3596.3","3","    3596.3","E","   1313.8"," ,E","      8.14","E","     10.78","E","      5.50","E"
"UKE00107640","1987","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       217","E","       118","E","         5","E","        0","","         0","E","        26","E","         0","E","         0","E","         0","E","   -6.0","E,0113, ","    10"," ,E,0322, ","  40.6"," ,E,1025, ","   19.1","E,0718, ","-1.2","E,1201","","","","","","","-0.1","E,0329","-2.2","E,0216","-4.7","E,0114","    3538.4","4","    3538.4","E","   1207.6"," ,E","      8.64","E","     11.12","E","      6.15","E"
"UKE00107640","1988","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       253","E","       149","E","         1","E","        0","","         0","E","        10","E","         0","E","         1","E","         0","E","   -3.2","E,0314, ","    20"," ,E,0304, ","  28.2"," ,E,0606, ","   21.3","E,0513, ","","","","","","","","","-0.8","E,0409","-3.2","E,0314","","","    3339.7","7","    3339.7","E","   1363.3"," ,E","      9.23","E","     11.61","E","      6.85","E"
"UKE00107640","1989","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       222","E","       153","E","         3","E","        0","","         0","E","        14","E","         0","E","         4","E","         0","E","   -5.3","E,1216, ","     0"," ,E,1231,+","  53.5"," ,E,1027, ","   22.7","E,0617, ","-3.1","E,1125","-3.1","E,1125","-4.9","E,1215","","","-0.4","E,0424","","","","","    3239.0","0","    3239.0","E","   1382.7"," ,E","      9.13","E","     11.79","E","      6.46","E"
"UKE00107640","1990","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       254","E","       176","E","         2","E","        1","","         0","E","        11","E","         0","E","         1","E","         0","E","   -2.6","E,1208, ","    30"," ,E,1208, ","  27.9"," ,E,0918, ","   21.2","E,0725, ","-2.6","E,1208","-2.6","E,1208","","","","","-0.9","E,0404","","","","","    3209.9","9","    3209.9","E","   1519.1"," ,E","      9.33","E","     11.93","E","      6.74","E"
"UKE00107640","1991","56.4967","-6.8867","9.0","TIREE, UK","      0.6","","       0.6","E","       213","E","       138","E","         3","E","        0","","         0","E","        11","E","         0","E","         6","E","         0","E","   -2.6","E,0210, ","    10"," ,E,0109,+","  27.7"," ,E,1110, ","   23.2","E,0730, ","-0.2","E,1220","","","","","","","-0.2","E,0222","-2.6","E,0210","","","    3328.2","2","    3328.2","E","   1281.7"," ,E","      9.28","E","     11.61","E","      6.94","E"
"UKE00107640","1992","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       258","E","       159","E","         4","E","        0","","         0","E","         3","E","         0","E","         7","E","         0","E","   -0.3","E,0110, ","     0"," ,E,1231,+","  35.8"," ,E,0824, ","   23.4","E,0527, ","-0.2","E,1220","","","","","","","0.0","E,0315","","","","","    2972.4","4","    2972.4","E","   1443.5"," ,E","      9.23","E","     11.64","E","      6.83","E"
