"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105918","1981","51.3458","1.34","49.0","MANSTON, UK","      7.1","","       7.1","E","       157","E","        74","E","         1","E","        1","","         0","E","        45","E","         0","E","        37","E","         0","E","   -6.3","E,0215, ","    80"," ,E,1221, ","  37.7"," ,E,0626, ","   27.0","E,0804, ","-3.1","E,1209","-3.1","E,1209","-4.4","E,1211","","","0.0","E,0503","-4.8","E,0216","-4.8","E,0216","","","","","    2859.8","8","    2859.8","E","    598.1"," ,E","      9.83","E","     13.07","E","      6.59","E"
"UKE00105918","1982","51.3458","1.34","49.0","MANSTON, UK","     40.6","","      40.6","E","       140","E","        66","E","         2","E","        0","","         0","E","        36","E","         2","E","        51","E","         0","E","   -8.2","E,0115, ","    10"," ,E,0110,+","  41.0"," ,E,1004, ","   29.4","E,0708, ","-0.6","E,1128","-3.0","E,1219","","","","","0.0","E,0505","-3.5","E,0308","-8.2","E,0115","-8.2","E,0115","","","    2962.2","2","    2962.2","E","    539.7"," ,E","     10.61","E","     14.03","E","      7.19","E"
"UKE00105918","1983","51.3458","1.34","49.0","MANSTON, UK","","","","","       135","E","        65","E","         0","E","       11","","         0","E","        32","E","         0","E","        44","E","         0","E","   -3.9","E,0204, ","   160"," ,E,0210, ","  22.6"," ,E,0209, ","   31.4","E,0714, ","-3.6","E,1115","-3.6","E,1115","","","","","-0.2","E,0403","-3.9","E,0204","","","","","","","","","","","    505.1"," ,E","     10.49","E","     13.86","E","      7.12","E"
"UKE00105918","1984","51.3458","1.34","49.0","MANSTON, UK","     37.5","","      37.5","E","       147","E","        75","E","         1","E","        0","","         0","E","        28","E","         0","E","        49","E","         0","E","   -3.7","E,0404, ","    10"," ,E,0122, ","  25.4"," ,E,0521, ","   30.0","E,0729, ","-0.2","E,1219","","","","","","","-0.2","E,0411","-3.7","E,0404","","","","","","","    2911.4","4","    2911.4","E","    564.1"," ,E","     10.14","E","     13.47","E","      6.81","E"
"UKE00105918","1985","51.3458","1.34","49.0","MANSTON, UK","     10.3","","      10.3","E","       139","E","        61","E","         1","E","       15","","         0","E","        56","E","         8","E","        32","E","         0","E","  -11.5","E,0117, ","   200"," ,E,0105, ","  25.7"," ,E,1225, ","   27.0","E,0929, ","-4.0","E,1103","-4.0","E,1103","","","","","-0.3","E,0328","-2.6","E,0223","-4.7","E,0220","-8.6","E,0214","-11.5","E,0117","    3004.6","6","    3004.6","E","    528.2"," ,E","      9.51","E","     12.98","E","      6.05","E"
"UKE00105918","1986","51.3458","1.34","49.0","MANSTON, UK","     20.5","","      20.5","E","       155","E","        73","E","         1","E","       11","","         0","E","        51","E","         9","E","        31","E","         0","E","  -14.5","E,0210, ","   140"," ,E,0209, ","  31.9"," ,E,0915, ","   27.2","E,0715, ","-1.4","E,1129","","","","","","","-1.4","E,0412","-3.6","E,0304","-4.4","E,0227","-9.9","E,0222","-9.9","E,0222","    3115.7","7","    3115.7","E","    575.4"," ,E","      9.41","E","     12.85","E","      5.97","E"
"UKE00105918","1987","51.3458","1.34","49.0","MANSTON, UK","     25.1","","      25.1","E","       149","E","        67","E","         4","E","        2","","         0","E","        50","E","         8","E","        34","E","         0","E","   -8.9","E,0112, ","    40"," ,E,0114, ","  30.6"," ,E,1012, ","   28.3","E,0820, ","-0.4","E,1129","-2.7","E,1208","","","","","-1.2","E,0330","-2.2","E,0321","-5.6","E,0313","-8.5","E,0113","-8.9","E,0112","    3104.7","7","    3104.7","E","    671.7"," ,E","      9.75","E","     12.89","E","      6.60","E"
"UKE00105918","1988","51.3458","1.34","49.0","MANSTON, UK","      5.7","","       5.7","E","       150","E","        70","E","         0","E","        0","","         0","E","        16","E","         0","E","        33","E","         0","E","   -2.6","E,0410, ","     0"," ,E,1231,+","  19.5"," ,E,1019,+","   27.0","E,0817, ","-1.8","E,1105","","","","","","","-2.6","E,0410","-2.6","E,0410","","","","","","","    2818.8","8","    2818.8","E","    561.8"," ,E","     10.46","E","     13.67","E","      7.25","E"
"UKE00105918","1989","51.3458","1.34","49.0","MANSTON, UK","     59.3","","      59.3","E","       129","E","        53","E","         0","E","        0","","         0","E","        15","E","         0","E","        73","E","         0","E","   -3.8","E,1126, ","     0"," ,E,1231,+","  24.8"," ,E,0706, ","   29.6","E,0722,+","-1.4","E,1124","-3.8","E,1126","","","","","-0.9","E,0323","-2.2","E,0318","","","","","","","    2621.5","5","    2621.5","E","    450.5"," ,E","     11.43","E","     14.95","E","      7.90","E"
"UKE00105918","1990","51.3458","1.34","49.0","MANSTON, UK","     65.3","","      65.3","E","       120","E","        63","E","         1","E","        0","","         0","E","        12","E","         0","E","        57","E","         0","E","   -3.0","E,0405, ","     0"," ,E,1231,+","  26.8"," ,E,1027, ","   32.1","E,0803, ","-0.5","E,1121","","","","","","","-0.8","E,0410","-3.0","E,0405","","","","","","","    2420.3","3","    2420.3","E","    501.8"," ,E","     11.29","E","     14.94","E","      7.65","E"
