"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105871","1984","50.2917","-3.6508","32.0","SLAPTON, UK","     12.7","","      12.7","E","       160","E","       110","E","         3","E","         0","E","        13","E","         0","E","        47","E","         0","E","   -1.4","E,1226,+","  58.5"," ,E,1022, ","   28.0","E,0726, ","-1.4","E,1218","","","","","-0.4","E,0403","","","","","","","    2682.8","8","    2682.8","E","   1118.3"," ,E","     10.60","E","     14.31","E","      6.89","E"
"UKE00105871","1985","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       161","E","       105","E","         3","E","         0","E","        35","E","","","","","","","   -4.3","E,0116, ","  35.4"," ,E,0120, ","","","-1.6","E,1113","-2.6","E,1228","","","-1.4","E,0217","-3.0","E,0216","","","","","","","","","   1024.6"," ,E","","","","","      6.99","E"
"UKE00105871","1986","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       176","E","       119","E","         4","E","","","","","","","","","","","","","  38.6"," ,E,0825, ","","","","","","","","","","","","","","","","","    2999.0","0","    2999.0","E","   1221.6"," ,E","","","","","",""
"UKE00105871","1987","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       156","E","        86","E","         2","E","         0","E","        21","E","","","","","","","   -8.0","E,0113, ","  88.5"," ,E,0716, ","","","-0.2","E,1128","","","","","-0.6","E,0322","-3.0","E,0313","-6.5","E,0115","-8.0","E,0113","","","","","    954.7"," ,E","","","","","      7.42","E"
"UKE00105871","1988","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       156","E","        97","E","         5","E","         0","E","         7","E","","","","","","","   -1.6","E,0305, ","  46.3"," ,E,0831, ","","","-1.4","E,1122","","","","","-0.1","E,0411","","","","","","","","","","","   1122.1"," ,E","","","","","      7.77","E"
"UKE00105871","1989","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       145","E","        85","E","         5","E","         0","E","         5","E","         0","E","        64","E","         0","E","   -1.0","E,0425, ","  98.2"," ,E,0911, ","   27.5","E,0715, ","","","","","","","-1.0","E,0425","","","","","","","    2572.3","3","    2572.3","E","   1025.2"," ,E","     11.84","E","     15.41","E","      8.26","E"
"UKE00105871","1990","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       152","E","        97","E","         2","E","         0","E","         4","E","","","","","","","   -1.0","E,1123, ","  38.0"," ,E,0202, ","","","-1.0","E,1123","","","","","-0.2","E,0403","","","","","","","","","","","    878.5"," ,E","","","","","      8.20","E"
"UKE00105871","1991","50.2917","-3.6508","32.0","SLAPTON, UK","      5.8","","       5.8","E","       147","E","        96","E","         3","E","         0","E","        16","E","         0","E","        31","E","         0","E","   -6.8","E,0210, ","  30.0"," ,E,0318, ","   24.0","E,0826, ","-0.3","E,1117","","","","","0.0","E,0423","-4.0","E,0214","-6.8","E,0210","-6.8","E,0210","","","","","    919.9"," ,E","     10.74","E","     14.01","E","      7.47","E"
"UKE00105871","1992","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       173","E","       101","E","         6","E","","","","","         0","E","        34","E","         0","E","","","  31.5"," ,E,1128, ","   24.6","E,0729, ","","","","","","","","","","","","","","","","","","","   1020.9"," ,E","","","     14.30","E","",""
"UKE00105871","1993","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       176","E","       117","E","         7","E","         0","E","         9","E","","","","","","","   -2.6","E,0206, ","  36.6"," ,E,1219, ","","","-0.5","E,1121","","","","","-0.2","E,0326","-2.6","E,0206","","","","","    2604.4","4","    2604.4","E","   1279.5"," ,E","","","","","      7.71","E"
