"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105866","1986","52.1389","-4.5717","133.0","ABERPORTH, UK","      7.5","","       7.5","E","       186","E","        99","E","         3","E","        0","","         0","E","        33","E","         0","E","         9","E","         0","E","   -6.7","E,0221, ","     0"," ,E,1231,+","  49.6"," ,E,0825, ","   29.4","E,0626, ","","","","","","","-0.3","E,0426","-4.0","E,0304","-5.3","E,0303","-6.7","E,0221","","","    3427.7","7","    3427.7","E","    884.9"," ,E","      8.58","E","     11.31","E","      5.85","E"
"UKE00105866","1987","52.1389","-4.5717","133.0","ABERPORTH, UK","","","","","       171","E","        96","E","         1","E","        1","","         0","E","        45","E","         2","E","         6","E","         0","E","   -8.5","E,0113,+","    30"," ,E,0115, ","  32.5"," ,E,1017, ","   23.4","E,0819, ","-1.3","E,1208","-3.1","E,1210","","","-0.1","E,0322","-2.5","E,0321","-4.8","E,0114","-8.5","E,0113","","","","","","","    851.7"," ,E","      9.06","E","     11.75","E","      6.38","E"
"UKE00105866","1988","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.1","","       0.1","E","       190","E","       103","E","         3","E","        0","","         0","E","         6","E","         0","E","         3","E","         0","E","   -1.5","E,1122, ","     0"," ,E,1231,+","  34.2"," ,E,1026, ","   25.0","E,0906, ","-1.5","E,1122","","","","","-0.4","E,0410","","","","","","","","","    3100.2","2","    3100.2","E","    898.1"," ,E","      9.67","E","     12.21","E","      7.12","E"
"UKE00105866","1989","52.1389","-4.5717","133.0","ABERPORTH, UK","     10.4","","      10.4","E","       157","E","        92","E","         0","E","        0","","         0","E","        15","E","         0","E","        20","E","         0","E","   -4.2","E,1203, ","     0"," ,E,1231,+","  22.2"," ,E,0105, ","   29.0","E,0719, ","-1.1","E,1126","-2.5","E,1202","","","-1.7","E,0425","","","","","","","","","    2978.5","5","    2978.5","E","    785.6"," ,E","     10.15","E","     13.05","E","      7.26","E"
"UKE00105866","1990","52.1389","-4.5717","133.0","ABERPORTH, UK","     18.9","","      18.9","E","       172","E","        85","E","         2","E","        0","","         0","E","         6","E","         0","E","        22","E","         0","E","   -1.7","E,1215, ","     0"," ,E,1231,+","  29.8"," ,E,0127, ","   29.5","E,0802, ","-1.7","E,1215","","","","","-0.5","E,0409","","","","","","","","","    2756.4","4","    2756.4","E","    751.7"," ,E","     10.44","E","     13.31","E","      7.57","E"
"UKE00105866","1991","52.1389","-4.5717","133.0","ABERPORTH, UK","     12.4","","      12.4","E","       171","E","        94","E","         3","E","        0","","         0","E","        30","E","         0","E","        19","E","         0","E","   -6.3","E,0208, ","    10"," ,E,0130, ","  41.2"," ,E,1007, ","   27.1","E,0703, ","-1.0","E,1209","-4.4","E,1211","-4.4","E,1211","-0.2","E,0220","-2.5","E,0214","-5.7","E,0210","","","","","    3134.7","7","    3134.7","E","    769.5"," ,E","      9.46","E","     12.14","E","      6.78","E"
"UKE00105866","1992","52.1389","-4.5717","133.0","ABERPORTH, UK","      2.9","","       2.9","E","       191","E","       110","E","         1","E","        0","","         0","E","        19","E","         0","E","         9","E","         0","E","   -4.1","E,0122, ","     0"," ,E,1231,+","  39.3"," ,E,0829, ","   28.0","E,0628, ","-1.0","E,1223","-2.4","E,1229","","","-0.4","E,0131","-3.2","E,0123","","","","","","","    2857.2","2","    2857.2","E","    913.5"," ,E","      9.75","E","     12.42","E","      7.08","E"
"UKE00105866","1993","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       186","E","       103","E","         3","E","        0","","         0","E","        10","E","         0","E","         3","E","         0","E","   -5.0","E,1122, ","     0"," ,E,1231,+","  77.6"," ,E,0610, ","   23.8","E,0627, ","-1.1","E,1120","-5.0","E,1122","-5.0","E,1122","0.0","E,0301","-3.0","E,0103","","","","","","","    3040.6","6","    3040.6","E","    987.2"," ,E","      9.37","E","     11.97","E","      6.78","E"
"UKE00105866","1994","52.1389","-4.5717","133.0","ABERPORTH, UK","      2.1","","       2.1","E","       206","E","       130","E","         1","E","        0","","         0","E","         9","E","         0","E","        14","E","         0","E","   -4.6","E,0214, ","     0"," ,E,1231,+","  30.1"," ,E,0911, ","   26.8","E,0722, ","-1.4","E,1222","","","","","-1.2","E,0222","-4.1","E,0221","-4.6","E,0214","","","","","    3260.2","2","    3260.2","E","   1038.1"," ,E","      9.95","E","     12.60","E","      7.31","E"
"UKE00105866","1995","52.1389","-4.5717","133.0","ABERPORTH, UK","     55.0","","      55.0","E","       164","E","        90","E","         3","E","        2","","         0","E","        18","E","         2","E","        38","E","         0","E","   -4.9","E,1227, ","   100"," ,E,0303, ","  38.4"," ,E,1024, ","   30.0","E,0802, ","-1.5","E,1206","-4.9","E,1227","-4.9","E,1227","-0.5","E,0420","-2.2","E,0304","","","","","","","    2839.2","2","    2839.2","E","    820.5"," ,E","     10.45","E","     13.29","E","      7.61","E"
