"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UKE00105003","2006","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       153","E","        67","E","         0","E","  15.4"," ,E,0726, ","    521.2"," ,E"
"UKE00105003","2007","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       136","E","        70","E","         2","E","  43.1"," ,E,0527, ","    598.7"," ,E"
"UKE00105003","2008","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       139","E","        69","E","         0","E","  21.9"," ,E,0907, ","    610.6"," ,E"
"UKE00105003","2009","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       140","E","        69","E","         1","E","  34.8"," ,E,0806, ","    521.0"," ,E"
"UKE00105003","2010","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       140","E","        58","E","         1","E","  43.6"," ,E,0825, ","    479.5"," ,E"
"UKE00105003","2013","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       137","E","        59","E","         0","E","  17.8"," ,E,1027, ","    460.8"," ,E"
"UKE00105003","2014","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       160","E","        75","E","         2","E","  60.4"," ,E,0808, ","    689.8"," ,E"
"UKE00105003","2015","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       152","E","        69","E","         0","E","  24.4"," ,E,0724, ","    485.9"," ,E"
"UKE00105003","2016","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       144","E","        58","E","         0","E","  19.6"," ,E,0916, ","    498.6"," ,E"
"UKE00105003","2017","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       135","E","        69","E","         1","E","  32.4"," ,E,0627, ","    605.2"," ,E"
"UKE00105003","2018","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       138","E","        64","E","         1","E","  29.8"," ,E,1014, ","    497.8"," ,E"
"UKE00105003","2019","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       145","E","        75","E","         1","E","  26.8"," ,E,0610, ","    569.5"," ,E"
"UKE00105003","2020","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       146","E","        83","E","         0","E","  24.4"," ,E,1203, ","    663.7"," ,E"
"UKE00105003","2021","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       152","E","        65","E","         1","E","  41.0"," ,E,0914, ","    582.8"," ,E"
"UKE00105003","2023","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       148","E","        74","E","         3","E","  35.8"," ,E,1019, ","    720.2"," ,E"
