"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105927","1983","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        56","E","         1","E","        68","E","         0","E","   -7.6","E,1123, ","   31.2","E,0712, ","-0.1","E,1022","-3.4","E,1030","-6.0","E,1115","-7.6","E,1123","","","0.0","E,0424","-3.5","E,0223","-4.4","E,0222","-7.0","E,0204","","","","","","","     10.01","E","     14.11","E","      5.91","E"
"UKE00105927","1984","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     15.9","","      15.9","E","         0","E","        61","E","         0","E","        67","E","         0","E","   -5.1","E,1229, ","   29.5","E,0820, ","-2.2","E,1027","-2.2","E,1027","-5.1","E,1229","","","","","-1.3","E,0509","-3.6","E,0405","-4.7","E,0213","","","","","    3082.8","8","    3082.8","E","      9.60","E","     14.07","E","      5.12","E"
"UKE00105927","1985","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      2.4","","       2.4","E","         0","E","        90","E","        13","E","        34","E","         0","E","  -12.1","E,0213, ","   27.7","E,0724, ","-0.8","E,1024","-6.6","E,1103","-6.6","E,1103","-7.0","E,1114","-9.1","E,1229","-1.5","E,0428","-3.8","E,0426","-6.4","E,0320","-10.1","E,0219","-10.1","E,0219","    3275.6","6","    3275.6","E","      8.56","E","     12.89","E","      4.22","E"
"UKE00105927","1986","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     17.6","","      17.6","E","         0","E","        84","E","        10","E","        28","E","         0","E","  -14.0","E,0210, ","   29.9","E,0626, ","-0.3","E,1103","-2.4","E,1210","","","","","","","-0.4","E,0516","-2.3","E,0411","-4.6","E,0304","-7.6","E,0224","-10.6","E,0222","    3518.6","6","    3518.6","E","      8.52","E","     12.86","E","      4.19","E"
"UKE00105927","1987","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      6.0","","       6.0","E","         0","E","        74","E","         7","E","        40","E","         0","E","  -13.6","E,0112, ","   27.8","E,0705, ","0.0","E,1023","-4.3","E,1128","-6.5","E,1129","","","","","-0.3","E,0504","-3.9","E,0322","-5.0","E,0314","-8.6","E,0201","-9.9","E,0131","    3385.9","9","    3385.9","E","      8.87","E","     13.17","E","      4.56","E"
"UKE00105927","1988","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      1.5","","       1.5","E","         0","E","        65","E","         0","E","        30","E","         0","E","   -4.9","E,1122, ","   28.0","E,0806, ","-0.7","E,1002","-2.6","E,1030","-4.7","E,1105","","","","","-0.1","E,0520","-2.5","E,0425","-4.6","E,0305","","","","","    3159.1","1","    3159.1","E","      9.43","E","     13.83","E","      5.02","E"
"UKE00105927","1989","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     37.4","","      37.4","E","         0","E","        54","E","         0","E","        85","E","         1","E","   -6.9","E,1126, ","   32.6","E,0721, ","-1.0","E,1106","-4.5","E,1124","-4.5","E,1124","-6.9","E,1126","","","-1.9","E,0426","-2.2","E,0418","-5.3","E,0318","","","","","    3014.7","7","    3014.7","E","     10.38","E","     15.34","E","      5.41","E"
"UKE00105927","1990","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     34.6","","      34.6","E","         0","E","        42","E","         0","E","        71","E","         3","E","   -6.0","E,0405, ","   34.6","E,0802, ","-0.1","E,1008","-4.0","E,1206","-4.6","E,1215","","","","","-1.2","E,0428","-2.2","E,0414","-5.5","E,0406","","","","","    2894.2","2","    2894.2","E","     10.27","E","     15.27","E","      5.26","E"
"UKE00105927","1991","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     11.4","","      11.4","E","         0","E","        72","E","         5","E","        56","E","         0","E","  -10.5","E,0207, ","   27.5","E,0728, ","-0.4","E,1022","-2.8","E,1206","-4.5","E,1208","-8.9","E,1211","-8.9","E,1211","-1.0","E,0510","-2.5","E,0421","-5.5","E,0219","-9.2","E,0210","-9.2","E,0210","    3212.9","9","    3212.9","E","      9.31","E","     13.49","E","      5.13","E"
"UKE00105927","1992","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      5.2","","       5.2","E","         0","E","        62","E","         1","E","        65","E","         0","E","   -8.4","E,0124, ","   28.4","E,0614, ","-0.4","E,1014","-2.7","E,1031","-5.8","E,1229","-7.2","E,1230","","","-0.4","E,0410","-2.4","E,0309","-6.4","E,0220","-6.7","E,0125","","","    2961.7","7","    2961.7","E","      9.60","E","     13.89","E","      5.31","E"
